name,sku,price,stock
Laptop Dell XPS 13,DELL-XPS-13-001,15000000.00,25
iPhone 15 Pro Max,APPLE-IP15PM-001,18000000.00,50
Samsung Galaxy S24 Ultra,SAMS-S24U-001,16000000.00,30
MacBook Pro M3 14",APPLE-MBP-M3-001,25000000.00,15
Sony WH-1000XM5,SONY-WH1000XM5-001,4500000.00,100
iPad Pro 12.9" M2,APPLE-IPADPRO-001,14000000.00,40
Logitech MX Master 3S,LOGI-MXM3S-001,1500000.00,150
Samsung 49" Odyssey G9,SAMS-ODYSSEY-G9-001,18000000.00,20
Keychron Q1 Pro,KEY-Q1PRO-001,2500000.00,75
AirPods Pro 2nd Gen,APPLE-AIRPODSPRO2-001,3500000.00,200
Dell UltraSharp 27" 4K,DELL-U2723DE-001,8500000.00,45
Razer BlackWidow V4,RAZER-BWV4-001,3200000.00,80
SteelSeries Arctis Nova Pro,STEEL-ANPRO-001,5500000.00,60
ASUS ROG Swift PG27AQN,ASUS-PG27AQN-001,12000000.00,30
Bose QuietComfort 45,BOSE-QC45-001,4200000.00,90
Google Pixel 8 Pro,GOOGLE-P8PRO-001,13000000.00,35
Microsoft Surface Pro 9,MS-SURFACE-PRO9-001,16500000.00,25
Nintendo Switch OLED,NINTENDO-SWOLED-001,4800000.00,120
PlayStation 5 Digital,SONY-PS5-DIGITAL-001,6500000.00,40
Xbox Series X,MS-XBOXSX-001,7500000.00,35